Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression WT	Expression A	Expression B	Expression C	qValue WT vs A	qValue WT vs B	qValue WT vs C	qValue A vs B	qValue A vs C	qValue B vs C
	247487	248254		+	yafJ	b0223	putative enzyme; Not classified	64	61	81	75	9.013298303209222E-8	1.0	0.18911144795512044	1.266030504808049E-13	1.4152456856890582E-6	0.02098991329766561
248965	248965	248225		-	yafK	b0224	putative enzyme; Not classified	153	136	149	109	1.0454889275236978E-6	1.0	1.0567332923828544E-4	7.564363305003289E-7	0.9966137727660688	1.0371802735517279E-4
	249399	249121		-	yafQ	b0225	putative enzyme; Not classified	146	166	166	116	3.4218251860718726E-5	1.0	6.895744362118033E-5	2.4056576104844087E-6	0.31283521552310783	8.109387455136498E-6
249674	249662	249402	249400	-	dinJ	b0226	phenotype; Not classified	299	378	361	281	0.15346684252145895	0.8718460006709874	0.0552610123271867	8.441854332116851E-4	0.32825679873170055	4.791251189639034E-4
	249872	250621		+	yafL	b0227	putative membrane; Not classified	12	11	18	10	4.274432512169593E-9	1.0	8.011056474347381E-4	9.4042770406134E-20	0.06636778483255375	2.6600999547940505E-7
	250797	251294		+	rayT	b0228	putative membrane; Not classified	17	14	23	14	2.4834327409202137E-10	1.0	7.77955734851256E-4	4.585449748330467E-18	0.018155585174433164	5.341543282777575E-6
	253230	251518		-	lfhA	b0229	putative membrane; Not classified	11	5	12	8	2.4655956638170635E-36	1.0	4.061933038916963E-5	1.5463768446527144E-46	6.077078743095171E-12	7.377938452954111E-6
	253232	253987		+	lafU	b0230	putative membrane; Not classified	12	6	13	6	1.6103792562527115E-16	1.0	2.6465495748632716E-7	1.823514117675259E-20	0.30733080813836744	9.137521237413624E-9
	254058	255113		+	dinB	b0231	2.1.1 information transfer; DNA related; DNA replication	28	22	32	26	3.501652122420016E-10	1.0	0.0011712393321738788	5.552538637805874E-13	0.0025231215807013465	3.7273270069232883E-4
	255165	255458		+	yafN	b0232	2.1.1 information transfer; DNA related; DNA replication	23	34	42	29	4.503554543208146E-4	0.9639068536556389	0.02944604832501867	1.4626278030498465E-11	0.16299756400006282	7.0151356837843905E-6
	255461	255859		+	yafO	b0233	2.1.1 information transfer; DNA related; DNA replication	16	14	22	12	1.0408521868126272E-7	1.0	0.0015709494218096995	1.7165154110255926E-13	0.1826199564255751	1.3664395021481944E-5
	255869	256321		+	yafP	b0234	2.1.1 information transfer; DNA related; DNA replication	8	1	7	0	1.9140785979705568E-90	1.0	7.671657426157096E-56	6.211324221077967E-69	0.6156963279119976	1.3652422645010014E-42
	256639	256845		+	ykfJ	b0235	2.1.1 information transfer; DNA related; DNA replication	7	0	5	1	2.431035611984872E-120	0.9011302344928518	1.896979696068505E-12	1.993239723092872E-61	0.010045935890337207	1.149450026418971E-6
	256862	257362		+	prfH	b0236	2.1.1 information transfer; DNA related; DNA replication	12	5	10	5	5.493628817520143E-16	1.0	2.730492937398382E-7	6.008467253660698E-12	0.27510776199320974	1.618458344470756E-5
258915	258876	257419	257404	-	pepD	b0237	enzyme; Degradation of proteins, peptides, glyco	246	244	193	181	0.002810835026372846	0.7162980676090345	1.0207114128001582E-5	0.36765281502986213	0.04443718901129937	0.01865514224711329
	259137	259595		+	gpt	b0238	enzyme; Salvage of nucleosides and nucleotides	90	83	101	78	1.2921668625090799E-9	1.0	3.055978739215168E-4	1.3330808834685434E-11	0.0795781220017891	8.395854585370293E-5
259678	259687	260931	260988	+	frsA	b0239	enzyme; Salvage of nucleosides and nucleotides	106	122	126	139	0.1993034704106554	0.22217192697007668	0.019103171998662034	4.7493591762022374E-5	2.601544162470637E-5	0.9768882966861783
260989	260989	261390	261397	+	crl	b0240	regulator; Surface structures	435	508	401	340	0.5917180645177327	1.0	0.0013989465130239296	0.974247459351554	0.0015505541174675099	0.00906951108230215
	262484	261429		-	phoE	b0241	membrane; Outer membrane constituents	11	5	7	3	1.1022605113228423E-27	0.9472956623352546	4.225226543049143E-25	1.590639524918161E-10	0.20566094427191123	4.241315595829969E-9
	262772	263875		+	proB	b0242	enzyme; Amino acid biosynthesis: Proline	106	112	124	133	0.027858188085971253	0.3576379455646681	0.08148176693579229	3.6730189749891484E-6	9.479474295738235E-6	0.757569053979984
263887	263887	265140		+	proA	b0243	enzyme; Amino acid biosynthesis: Proline	91	88	100	121	4.97665685676174E-4	0.831470428564753	0.0226727686254221	3.1062099157045324E-7	1.9123059217755115E-11	0.46821132721246844
265255			265330	+	thrW	b0244	Thr tRNA	41	45	54	36	0.0016878353008087537	1.0	0.021456122409424676	2.5252614678811206E-5	0.8038016801804622	0.0020222125058500847
	265596	265534		-	ykfN	b4626	enzyme; Amino acid biosynthesis: Proline	12	21	17	9	0.3844047294816256	1.0	0.10033479830901304	0.051816173774884365	0.1457242074346574	0.015842700223595574
	266053	265712		-	ykfI	b0245	Phage or Prophage Related	20	24	23	14	2.6221294307620722E-5	1.0	0.0010446916964744605	1.6761713153309592E-6	0.531638803119074	1.5234905790624761E-4
	266391	266074	266074	-	yafW	b0246	Phage or Prophage Related	23	22	32	19	1.8462080746388398E-7	1.0	0.0021705520393048294	9.829438207002876E-14	0.14607043220210725	1.3011947649632156E-5
	266631	266410	266410	-	ykfH	b4504	Phage or Prophage Related	18	14	26	12	2.0988007607382626E-5	1.0	0.003331140968999282	1.302822950040459E-11	0.5301545458088173	3.526089537955768E-6
	267116	266640	266640	-	ykfG	b0247	Phage or Prophage Related	20	17	23	19	4.981322889082829E-10	1.0	0.0026021384165492633	1.9081194403557442E-13	5.877546724215708E-4	5.628954828778232E-4
	267590	267132		-	yafX	b0248	Phage or Prophage Related	51	46	59	48	5.805640424793267E-8	1.0	0.001689447472431982	3.3830086758236113E-10	0.03166426799584838	4.8179820909481056E-4
	267927	267688		-	ykfF	b0249	Phage or Prophage Related	42	40	53	39	1.8639110397158622E-8	1.0	0.0020940356936430273	5.139223994596157E-13	0.017872686137157007	1.1255276657805475E-4
	268471	268004		-	ykfB	b0250	Phage or Prophage Related	98	101	101	91	2.628061854707885E-6	1.0	0.0019042479818329662	3.7617253476779953E-6	0.3282501739734577	0.00302649695252637
	268937	268494		-	yafY	b0251	Phage or Prophage Related	14	10	15	8	1.0178210955460089E-8	1.0	1.9532099170596512E-4	8.603712282688964E-10	0.46013293356864843	7.728527675837E-5
269158	269158	268937		-	ykfL	b4627	Phage or Prophage Related	17	8	12	7	1.0888405302059595E-12	1.0	1.972526962966765E-5	6.190075270824194E-7	0.34287235288880386	0.0030031537832993934
	269351	269160		-	ykfK	b4628	Phage or Prophage Related	10	5	9	2	3.097877959804785E-15	1.0	3.789664267371055E-7	1.0745663829493744E-13	0.9638454644800697	2.3599449491998764E-6
	270389	269568		-	yafZ	b0252	Phage or Prophage Related	10	4	13	5	5.802291681269433E-21	1.0	3.154520904054979E-7	4.965314549242027E-33	0.05823927040143864	8.705037152029186E-11
271344	271344	270481		-	ykfA	b0253	Phage or Prophage Related	28	21	33	27	1.0167614624695256E-11	1.0	0.002473821017193078	1.5692226378456936E-15	2.5931367248326645E-5	7.789165130632152E-4
272566	272566	271673		-	perR	b0254	Phage or Prophage Related	15	10	18	10	1.5776746934690906E-17	1.0	1.6750344005177172E-5	1.9156166477661765E-25	0.002417424032499495	3.0152636455751176E-7
	272662	274573		+	insN	b4587	Phage or Prophage Related	18	15	22	16	1.164049680791023E-9	1.0	0.0014813252218562963	3.655931764900716E-15	0.005111827610608632	5.370937439750471E-5
	272987	274138		+	insI1	b0256	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	13	11	17	11	2.834819615523463E-12	1.0	5.592519678591634E-4	2.645156354703501E-19	0.0019179352832132826	2.1092488950136866E-5
274964			275038	+	eyeA	b4690	-	21	21	25	24	8.371025034983039E-4	1.0	0.1669293059548665	4.5979520037921676E-5	0.017322680896301016	0.08522616645555167
	275231	276338		+	ykfC	b0258	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	20	12	22	16	5.570464842390919E-19	1.0	1.0832012419383922E-4	4.646762297705545E-23	5.863898426539018E-6	3.584281085505948E-5
	277501	276485		-	insH1	b0259	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	63	59	63	64	2.2021055964767724E-6	1.0	0.07418680628975637	3.445513450147352E-6	0.004463995191501371	0.09203250573482115
	277709	279112		+	mmuP	b0260	Phage or Prophage Related	38	32	48	49	4.0910999194900245E-10	1.0	0.5523706548840991	5.665414635240759E-18	5.605880027534958E-14	0.12033709986432992
	279099	280031		+	mmuM	b0261	Phage or Prophage Related	66	62	77	89	1.4767972032408383E-6	1.0	0.7926459207080415	8.733572687758488E-10	5.105366293950114E-11	0.7467090840988907
	281186	280140		-	afuC	b0262	putative transport; Not classified; Phage or Prophage Related	13	6	11	6	6.31180865883917E-30	1.0	2.877903051715736E-10	6.931126337049115E-23	0.050292030998835474	6.014566782145071E-8
	281545	281198	281198	-	afuB	b0263	putative transport; Not classified; Phage or Prophage Related	16	6	15	5	5.9440525197944845E-18	1.0	6.780286808180744E-10	2.71761406418453E-16	0.7383832253752318	7.572122345047736E-9
	282065	281562		-	insB1	b0264	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	30	29	46	37	5.534604780273543E-8	1.0	0.017758470543714305	4.011576527162649E-18	1.3553544006083337E-5	2.4454966570630865E-4
	282259	281984		-	insA	b0265	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	19	15	30	21	5.11878197090875E-7	1.0	0.025366868304065367	1.9990605152273897E-16	2.116907466241546E-4	3.3162238191416956E-4
	282315	282488		+	insI1	b4708	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	16	10	23	13	2.593807322252256E-6	1.0	0.020891576500883326	4.149775893126471E-13	0.028376824365726947	4.3319257691815403E-4
	282746	282498		-	insX	b4505	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	31	30	45	51	2.757434057836797E-7	1.0	0.15552905093300956	2.9976280940851084E-15	8.946444270113516E-15	0.03152727463198954
	283119	282811		-	yagB	b0266	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	21	18	20	12	3.8057129040842663E-7	1.0	1.6370733253971326E-4	1.680139651044474E-6	0.9256379195402	4.3807102520292867E-4
	284367	283213		-	yagA	b0267	Phage or Prophage Related	9	2	7	2	3.7045065420510255E-39	1.0	1.2407268195674433E-18	8.862110650178174E-26	0.3947646819550037	2.828364022452336E-12
	284662	285570		+	yagE	b0268	Phage or Prophage Related	9	3	9	3	1.8469686501944018E-26	1.0	1.3741862274508109E-14	7.825330940983925E-28	0.6426834764795879	3.558611187645395E-15
	285585	287552		+	yagF	b0269	Phage or Prophage Related	13	5	10	4	9.64274203925995E-44	1.0	1.24807261390219E-20	7.986624718499313E-27	0.3924585337526489	1.3591038456759313E-12
287779	287779	289161	289161	+	yagG	b0270	Phage or Prophage Related	18	20	17	14	3.1595895703365995E-5	1.0	1.7899912460013622E-4	1.3216039378968956E-4	0.5017414877642529	5.824618986669455E-4
	289173	290783		+	yagH	b0271	Phage or Prophage Related	35	37	30	33	7.45688577564025E-5	1.0	0.012352993289018996	0.007855590961786615	0.36464104536773484	0.1460255921888042
	291546	290788		-	yagI	b0272	Phage or Prophage Related	96	70	65	58	5.409380144783416E-14	0.6530968372464384	4.077372360013906E-9	7.018779176785997E-5	0.8255967187175051	0.002843701144976421
	292689	291685		-	argF	b0273	enzyme; Amino acid biosynthesis: Arginine; Phage or Prophage Related	207	134	137	114	7.962349461808163E-22	0.0015543096213136815	1.2632357129543973E-12	1.5778945676213818E-4	0.5474177751197256	0.015465254502210259
292813	292813	293017		+	ykgS	b4688	enzyme; Amino acid biosynthesis: Arginine; Phage or Prophage Related	26	27	46	37	2.0505681803441E-5	0.9882941003599028	0.07319360863526589	7.220049969719799E-16	9.916121675716868E-6	7.852890311047626E-4
	293536	293033	293033	-	insB1	b0274	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	29	27	45	38	7.562001771528045E-9	1.0	0.026234122095847214	9.220834894933577E-21	6.417243425472885E-8	4.95980624016672E-4
	293730	293455		-	insA	b0275	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	20	16	29	25	4.057464712355843E-7	1.0	0.03930335866736493	4.836763461810232E-14	1.2850779537739172E-6	0.002896850334936446
293788	293788	294615		+	yagJ	b0276	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	21	15	18	11	6.283384631819546E-14	1.0	1.0742764058704349E-9	1.3766400259313718E-9	0.7526139528207079	1.1867643965033527E-6
	295332	294706		-	yagK	b0277	Phage or Prophage Related	10	6	8	5	5.0934170855527345E-11	1.0	8.782859767933781E-6	1.0405431981322267E-6	0.5398551210196196	0.001090190303275874
	296302	295604		-	yagL	b0278	Phage or Prophage Related	5	1	4	2	1.308202773380085E-39	1.0	1.4606218775753263E-5	1.7186909735252822E-30	2.385252173149573E-4	1.7253128381793212E-4
	297183	296329		-	yagM	b0279	Phage or Prophage Related	5	0	3	0	1.1660957052531197E-244	0.9674455304298096	1.6287947691248992E-133	1.6051535659389505E-84	0.8635752397670627	4.302293702839681E-46
	297963	297523	297523	-	yagN	b0280	Phage or Prophage Related	36	35	35	22	1.9112579231245767E-8	1.0	3.244599593535279E-7	2.729714145183808E-7	0.2745367578556622	3.282015537761207E-6
	299480	298080		-	intF	b0281	Phage or Prophage Related	27	27	30	20	2.9949025345893227E-8	1.0	1.4068924351030342E-5	2.038661340098802E-9	0.9300723303505931	3.9078966448570224E-6
299590			299638	+	ptwF	b4629	Xaa tRNA	21	10	14	15	1.02335026700944E-9	0.72380103551754	0.05812858421616418	2.0960030917656816E-4	9.268488862981924E-4	0.6636543717040339
	300103	299765		-	yagP	b4694	Phage or Prophage Related	35	40	40	36	4.290889771150517E-6	1.0	0.007098325230856782	2.0263004156004468E-7	0.0678354636599482	0.003357307060207126
	300175	300098		-	ykgT	b4695	Phage or Prophage Related	58	74	74	52	8.584054781316781E-4	1.0	0.016332278291999635	9.744798177070816E-6	1.0	0.0013564062322896043
	301110	300154		-	paoD	b0283	Phage or Prophage Related	60	93	82	87	0.6403139865288141	0.9548636037983345	0.6177611234427763	0.02069585395761722	0.18717825433499966	0.43173991431290976
	303318	301120		-	paoC	b0284	Phage or Prophage Related	56	80	70	82	0.062023726264542535	0.0975485181127359	2.616293753411655E-4	0.18886272442747867	0.023550469519787422	0.44663807053021043
	304271	303315		-	paoB	b0285	Phage or Prophage Related	37	47	43	50	3.0632381089501715E-4	1.0	0.20150471413713128	5.030462841317156E-5	0.0033581545749030335	0.17725735686417377
	304957	304268		-	paoA	b0286	putative enzyme; Not classified	35	47	40	37	2.1717028590828293E-4	1.0	0.005117055143060646	6.3316092624035E-5	0.8595809675794143	0.003081894364674153
	305375	305989	305989	+	yagU	b0287	putative enzyme; Not classified	22	14	23	15	1.121179662852368E-16	1.0	2.1864005721240528E-5	1.3374532104887447E-19	0.0035206978414135098	6.286359500191544E-6
	306566	306237		-	ykgJ	b0288	putative carrier; Not classified	11	4	9	5	3.138024592503889E-19	1.0	3.349151942307098E-5	5.850062779547716E-11	0.03760490682206739	0.0024232674552450493
	307589	306879		-	ecpE	b0289	putative carrier; Not classified	18	14	18	15	3.612952549242766E-13	1.0	4.381030590714213E-4	2.2803582280380096E-13	8.1013043555614E-4	6.487157452077152E-4
	309201	307558		-	ecpD	b0290	putative factor; Not classified	22	17	21	14	1.5145426723869746E-10	1.0	7.930494618876197E-7	1.0267982316297216E-9	0.860812245997871	4.176238014895537E-6
	311716	309191		-	ecpC	b0291	putative enzyme; Not classified	11	5	13	7	8.05493502267485E-33	1.0	1.5328580918609305E-6	4.649169432545086E-45	3.0357103038612006E-7	4.2001680200938316E-8
	312410	311742		-	ecpB	b0292	putative enzyme; Not classified	8	2	9	3	9.801780010090052E-35	1.0	5.907999528967272E-8	1.0795123568132187E-40	0.008717934298344386	4.981729455380405E-9
	313055	312468		-	ecpA	b0293	putative enzyme; Not classified	23	16	22	23	8.2220654677122E-16	1.0	0.0033209784365559464	5.990487577657883E-14	6.3957978916891E-9	0.010978229638320888
	313720	313130		-	ecpR	b0294	putative regulator; Not classified	6	1	3	0	2.4152934470748702E-91	0.9674455304298096	4.611827833951338E-67	7.024298122657967E-34	0.4275269443884695	1.0931139949526347E-24
	314496	314723		+	ykgL	b0295	putative regulator; Not classified	9	2	6	0	7.716880818664362E-39	0.9639068536556389	1.4190726175119702E-190	3.951593354142134E-20	8.887555119098664E-8	1.969787620614388E-100
	314898	314758		-	ykgO	b4506	putative regulator; Not classified	8	1	5	0	4.331652556478129E-30	0.7500893975637158	0.0	2.7513113932399137E-13	1.6860957017131711E-152	0.0
	315161	314898		-	ykgM	b0296	putative regulator; Not classified	7	1	4	2	3.9507596743548005E-39	0.691654475020119	1.3522993846001502E-5	8.639929418128305E-13	0.005897543072185522	0.009571533003628044
	315626	315525		-	ykgR	b4671	putative regulator; Not classified	3	0	0	0	4.8217871811471825E-39	5.917636822118247E-5	1.0626739347003913E-266	0.018818388587023633	3.536007330544031E-11	1.5268725736977734E-20
	316189	316100		-	ykgP	b4630	putative regulator; Not classified	7	0	2	0	4.038863088964424E-182	0.014977023071670807	0.0	6.792228906773968E-17	3.397711446094391E-7	7.679592307296951E-119
	316741	317612		+	eaeH	b0297	putative regulator; Not classified	7	0	4	0	0.0	1.0	3.432394728065146E-207	8.515397218934108E-134	0.6949129571273334	1.671503359923364E-77
	317675	317974		+	insE1	b0298	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	22	14	19	13	1.8413574401774113E-10	1.0	1.3763751622155763E-4	4.3325890355152456E-8	0.19908872092325525	0.0011436606757819086
	317971	318837		+	insF1	b0299	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	20	10	15	11	1.0282068022597582E-33	1.0	1.6742282265844816E-9	1.2795285804000264E-17	9.982803225405035E-5	8.678099104765401E-5
	319553	318870	318870	-	ykgA	b0300	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	13	7	10	4	1.3662389149413469E-17	1.0	4.496075024691098E-16	1.876271650923132E-9	0.23121718626374618	2.8122250553403794E-8
	319823	319951		+	ykgQ	b4631	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	6	1	2	0	6.142673034387037E-54	0.09168760828054015	0.0	1.8583589343338891E-7	2.268905334760136E-55	1.1895022623084831E-202
	320703	320110		-	ykgB	b0301	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	10	1	7	0	6.479302273449827E-204	1.0	1.8742298445500537E-285	9.552510613239124E-102	0.012900165926519524	8.962432350812876E-146
	320951	320715		-	ykgI	b0303	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related	6	1	3	0	4.0984961472478774E-25	0.3691848881272444	7.00737414663611E-19	1.6043548188760562E-6	0.5531602465653321	8.29565778843428E-5
	322385	321060		-	ykgC	b0304	putative enzyme; Not classified	17	12	17	11	4.5377870087424295E-14	1.0	4.49718844321115E-6	1.2092597871825118E-14	0.10045147970418976	4.914605476964701E-6
	322611	323465		+	ykgD	b0305	putative regulator; Not classified	7	1	4	1	1.4826513940174067E-135	0.9272248633276367	5.444346848826446E-24	4.206149754657754E-39	0.01612158546703636	2.0983655505598687E-7
	323992	324711		+	ykgE	b0306	putative enzyme; Not classified	9	1	6	1	1.031851175782468E-85	1.0	5.388624020800561E-41	1.0292305126765199E-34	0.8394723962818187	1.4371456431296362E-16
	324722	326149		+	ykgF	b0307	putative enzyme; Not classified	15	7	14	7	1.2599263673627795E-37	1.0	8.696789507970656E-11	2.4927464782649394E-33	0.003561898596441491	2.6858268970631542E-9
	326142	326837		+	ykgG	b0308	putative transport; Not classified	13	4	10	4	9.272734289969133E-36	1.0	2.8866739159611786E-12	1.7458514421747672E-20	0.06458084501774616	3.0348881871442144E-7
	327748	327080		-	ykgH	b0310	putative transport; Not classified	4	1	2	0	9.61916455354214E-55	0.7770719233507941	0.0	6.520063399165604E-16	6.494626732618527E-15	1.2998294579167185E-118
329631	329631	327961		-	betA	b0311	enzyme; Osmotic adaptation	37	80	81	22	0.0011214586612430751	3.919756405829061E-6	7.118982080132197E-10	2.0628964605548902E-4	1.3515053908153872E-64	1.3106194651626773E-77
	331117	329645		-	betB	b0312	enzyme; Osmotic adaptation	69	154	126	39	9.239233001955174E-14	6.890757142153308E-9	4.1440725572550873E-10	0.5008031852270578	8.971326533283373E-92	1.1799166244536233E-59
	331718	331131	331131	-	betI	b0313	putative regulator; Osmotic adaptation	64	158	126	47	0.11722063952973308	0.3682112367016445	1.9077337186998985E-5	0.12000714459821801	3.0961286852825955E-37	1.3116019057763957E-25
	331847	333880		+	betT	b0314	transport; Transport of small molecules: Other	37	78	59	23	7.373667732837398E-6	0.007176643721980202	3.3997569897080687E-7	0.8246288300698821	2.8455902492941886E-50	3.395652413339607E-28
	334755	335843		+	yahA	b0315	transport; Transport of small molecules: Other	12	4	8	2	6.460666098993995E-45	0.9639068536556389	4.984410625661534E-33	4.0525675249679295E-21	0.6694863688789302	2.8671787165500285E-15
	336817	335885		-	yahB	b0316	putative regulator; Not classified	10	6	12	5	1.664260572834231E-17	1.0	3.4336282840598767E-7	7.512503901814719E-22	0.18877886187675083	1.0947957446725904E-8
337406	337406	336909		-	yahC	b0317	putative regulator; Not classified	11	1	9	0	0.0	1.0	8.508360665264156E-102	3.2193308540475553E-255	0.13594651770785057	2.092072220948589E-53
	337664	338269		+	yahD	b0318	putative regulator; Not classified	18	11	15	10	1.177966299714295E-16	1.0	3.824632620196553E-6	7.177430782343982E-13	0.057742804910132624	7.032169844239719E-5
	338309	339172		+	yahE	b0319	putative regulator; Not classified	9	2	6	2	6.549702061439461E-57	1.0	4.027259876215613E-26	2.7549114416031464E-23	0.5374288268623945	8.786156490414542E-11
	339162	340709		+	yahF	b0320	putative enzyme; Not classified	11	5	10	5	1.1148591953827542E-37	1.0	4.760939140649308E-11	4.2206140190330755E-36	0.005934883803717574	4.515226971956426E-10
	340709	342127		+	yahG	b0321	putative enzyme; Not classified	20	15	23	18	9.826001753105707E-11	1.0	0.0013393290730855391	2.3725788901350004E-14	8.074756804906954E-4	3.025191190088754E-4
	342549	343499		+	yahI	b0323	putative enzyme; Not classified	11	4	10	5	8.578485263834844E-26	1.0	4.436099611174028E-8	2.374069177555743E-21	0.022697491203604092	9.690149217416002E-7
	343509	344891		+	yahJ	b0324	putative enzyme; Not classified	25	16	20	14	2.0650197878948066E-15	1.0	2.1509684373730836E-8	4.5609726683915485E-9	0.4046953661021445	6.104411077978767E-5
345247	345268	346317	346331	+	yahK	b0325	putative enzyme; Not classified	264	341	274	277	0.9390982082184267	1.0	0.43890770837415727	0.28406998438676534	0.32376975682266823	0.08408519476230535
	346560	347375		+	yahL	b0326	putative enzyme; Not classified	5	0	3	0	2.6474242455645415E-255	0.9212267183965129	1.0	1.5853745707149137E-73	0.0	1.0
	347788	348033		+	yahM	b0327	putative enzyme; Not classified	9	3	9	1	6.124756865507215E-29	1.0	6.876786639070531E-14	3.152951753280436E-27	0.9674833805244529	6.118279815398934E-13
	348721	348050		-	yahN	b0328	putative enzyme; Not classified	10	2	9	3	4.259644114390596E-45	1.0	1.3220429475253246E-13	2.0242512392416358E-32	0.0742597141425103	7.059882974218609E-10
348850	348868	349143	349162	+	yahO	b0329	putative enzyme; Not classified	645	391	838	684	5.8155566069471485E-27	0.021852240802009325	0.8565593165449547	1.237124623477353E-59	3.481796991354268E-30	0.003314336824371798
	350827	349241		-	prpR	b0330	regulator; Not classified	11	7	12	8	5.184891982026043E-22	1.0	7.41665992438134E-5	1.4822952929210413E-25	4.775806387001721E-6	3.86073698473028E-5
	351066	351956		+	prpB	b0331	putative enzyme; Not classified	10	2	10	2	1.0464829073497667E-49	1.0	1.2436881541113633E-20	1.0324956481939313E-46	0.2838302368073822	2.822415953282434E-19
	352396	353565		+	prpC	b0333	putative enzyme; Not classified	9	2	9	1	7.412663243921041E-64	1.0	4.92900525642747E-66	1.309348935258124E-60	0.28140392853471075	1.471457877930537E-62
	353599	355050		+	prpD	b0334	putative enzyme; Not classified	8	2	8	2	9.513416452630966E-60	1.0	2.0693047994789756E-21	1.8571839491661605E-50	0.10257142553523951	4.3354494988543264E-18
	355090	356976		+	prpE	b0335	putative enzyme; Not classified	10	3	10	4	5.673832697210769E-67	1.0	4.155323569605529E-13	3.790658226479881E-68	5.718127736099662E-6	6.619875786863793E-13
	357306	358565		+	codB	b0336	transport; Transport of small molecules: Nucleosides, purines, pyrimidines	36	6	14	8	5.917381930973E-312	0.2575262005199789	8.953791850358494E-62	1.6833362231464625E-34	3.0740008343324574E-5	2.0123560728196374E-7
	358555	359838		+	codA	b0337	enzyme; Salvage of nucleosides and nucleotides	66	27	34	31	5.388864143908472E-60	0.04651113007849182	6.112996389005763E-19	5.555648532467908E-12	7.943984604009696E-4	0.0018726648819283624
	361074	360175		-	cynR	b0338	regulator; Central intermediary metabolism: Pool, multipurpose conversions	15	8	14	10	2.4453956633103567E-23	1.0	2.8842057765591497E-5	3.4574991304021445E-21	3.207080632457759E-6	1.2030932268738665E-4
	361183	361842	361842	+	cynT	b0339	enzyme; Central intermediary metabolism: Pool, multipurpose conversions	14	7	14	5	4.454149090679393E-19	1.0	2.5620119311654702E-9	8.317423836103076E-19	0.5292793223327203	4.748248098753454E-9
	361873	362343		+	cynS	b0340	enzyme; Central intermediary metabolism: Pool, multipurpose conversions	16	9	14	11	3.1822289083899827E-12	1.0	6.863723873640933E-4	1.3755322410894644E-9	0.0043635842949429	0.003087005912140811
	362376	363530		+	cynX	b0341	transport; Transport of small molecules: Anions	12	5	12	8	1.5878553851910041E-34	1.0	3.080810465011246E-6	1.0025426545495031E-37	2.715784615162478E-8	2.1092139687807877E-6
	364244	363633		-	lacA	b0342	enzyme; Degradation of small molecules: Carbon compounds	8	1	6	1	1.4907673125419777E-135	1.0	2.590082777162535E-19	1.3812129641163677E-75	0.005680766658031651	5.655301357049101E-11
	365563	364310		-	lacY	b0343	transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	7	1	5	1	1.1885983215214437E-124	0.9882941003599028	2.1552037721846907E-35	2.8924616318419697E-44	0.0931239283796373	7.565592809758019E-13
	368689	365615		-	lacZ	b0344	enzyme; Degradation of small molecules: Carbon compounds	11	3	10	3	3.630179630059098E-111	1.0	4.5433470341966864E-36	1.5411965447336516E-98	0.02748055666272109	1.2667998658306981E-31
	369894	368812		-	lacI	b0345	regulator; Degradation of small molecules: Carbon compounds	73	65	74	50	8.987553772921213E-7	1.0	7.367777954516744E-6	3.274546332472243E-7	0.6191256358825316	4.519579085516745E-6
	370804	369971		-	mhpR	b0346	regulator; Not classified	16	11	20	14	5.456420008469493E-16	1.0	0.0013095045816340827	2.480080360587221E-26	4.17376259021673E-7	7.141476834059714E-5
	370995	372659		+	mhpA	b0347	enzyme; Degradation of small molecules: Carbon compounds	8	1	7	1	4.906994898386633E-129	1.0	1.8607575956541294E-65	4.204109092683032E-108	0.6368056741746132	1.0640167012845449E-54
	372661	373605		+	mhpB	b0348	enzyme; Degradation of small molecules: Carbon compounds	7	1	8	1	2.413679695668492E-75	1.0	3.894029160707624E-23	5.81520814680459E-103	0.20529845700989388	4.093365314563827E-31
	373623	374489		+	mhpC	b0349	enzyme; Degradation of small molecules: Carbon compounds	10	3	9	2	2.7385243921701144E-27	1.0	1.1575998558061379E-21	2.748159137426765E-26	0.6690060868988643	1.1226755804917644E-20
	374499	375308		+	mhpD	b0350	enzyme; Degradation of small molecules: Carbon compounds	9	3	8	3	5.292011342891323E-24	1.0	6.985281511459039E-13	1.219000066130482E-16	0.6017277179932585	6.3820154881767846E-9
