"control1"	"control2"	"control3"	"control4"	"control5"	"ckd1"	"ckd2"	"ckd3"	"ckd4"	"ckd5"	"aki1"	"aki2"	"aki3"	"aki5"
"hsa-miR-3195"	26	536	0	157	255	185	791	941	755	289	2651	600	592	348
"hsa-miR-3196"	33	34	20	92	34	46	34	221	179	54	68	36	54	52
"hsa-miR-32-3p"	4	3	0	7	14	16	47	32	8	44	0	0	0	14
"hsa-miR-32-5p"	0	3	4	4	5	2	97	11	21	30	7	0	0	5
"hsa-miR-3200-3p"	76	75	90	136	88	184	113	105	795	326	129	143	12	138
"hsa-miR-320a"	34158	36168	42386	86495	52704	40211	71432	160213	364685	60472	73158	70362	21451	71391
"hsa-miR-320b"	1654	1645	1934	4338	2250	1577	3596	10103	22788	2271	3637	3877	1427	4237
"hsa-miR-320c"	839	550	482	1787	955	645	1068	4864	10620	1170	1154	1292	267	1267
"hsa-miR-320d"	454	315	237	766	472	334	643	1881	4537	559	318	439	65	510
"hsa-miR-320e"	16	3	4	24	18	11	37	53	130	28	6	0	3	23
"hsa-miR-323a-3p"	197	81	93	207	55	85	282	163	4375	104	102	239	86	259
"hsa-miR-323b-3p"	195	60	67	147	22	35	142	133	1809	69	119	196	47	122
"hsa-miR-324-3p"	441	596	452	774	500	848	1030	645	4090	1089	721	1122	94	640
"hsa-miR-324-5p"	253	202	411	337	234	417	1009	162	3270	795	636	867	36	168
"hsa-miR-326"	326	687	1216	1280	470	406	2395	1021	4518	510	1601	3625	307	1628
"hsa-miR-328-3p"	3062	3081	2204	6040	4503	4993	5360	9414	29729	10136	4369	6767	770	4251
"hsa-miR-329-3p"	16	16	19	24	12	18	105	28	559	47	17	77	7	79
"hsa-miR-330-3p"	111	110	197	288	150	192	637	627	1906	414	746	785	90	421
"hsa-miR-330-5p"	18	24	52	92	18	38	188	63	346	45	145	140	14	59
"hsa-miR-331-3p"	1670	2059	1388	2972	2148	2132	6536	3517	17646	4738	4712	8389	628	2526
"hsa-miR-331-5p"	11	7	29	28	14	22	42	15	279	42	27	33	0	15
"hsa-miR-335-3p"	236	306	366	413	393	419	5942	329	10113	2022	230	764	106	1098
"hsa-miR-335-5p"	13	10	14	25	33	19	818	46	343	66	16	24	6	75
"hsa-miR-337-3p"	33	40	46	54	45	21	386	39	854	72	7	73	3	96
"hsa-miR-337-5p"	10	10	12	8	9	4	42	19	67	26	0	5	0	23
"hsa-miR-338-3p"	70	47	105	190	350	233	246	83	1190	535	55	46	14	48
"hsa-miR-338-5p"	224	90	50	111	329	114	176	80	266	191	68	9	7	33
"hsa-miR-339-3p"	1282	1160	1217	1870	969	1436	5849	2045	6220	1932	1836	1988	488	2406
"hsa-miR-339-5p"	473	662	809	1311	575	734	2478	1154	8208	1560	2409	2475	269	1448
"hsa-miR-33b-3p"	2	0	19	24	8	9	12	12	23	15	76	27	7	9
"hsa-miR-340-3p"	39	22	68	80	41	70	264	50	499	128	64	86	5	136
"hsa-miR-340-5p"	140	91	204	123	77	96	714	154	504	234	114	86	29	182
"hsa-miR-342-3p"	11218	9807	19491	30537	10790	11851	75768	45373	120999	17346	60937	41033	15244	49203
"hsa-miR-342-5p"	277	170	340	686	280	270	1279	1191	1877	431	875	920	308	1144
"hsa-miR-345-5p"	644	751	1019	1505	944	1738	2249	1532	13013	3148	1432	1967	149	1100
"hsa-miR-346"	18	19	9	38	4	28	43	58	129	44	23	67	3	7
"hsa-miR-34a-5p"	280	202	371	691	620	424	1770	585	2461	1061	151	138	10	556
"hsa-miR-34b-3p"	11	29	49	90	28	21	555	161	389	52	158	261	46	213
"hsa-miR-34c-3p"	0	7	31	21	8	10	259	28	132	0	54	41	15	40
"hsa-miR-34c-5p"	5	7	13	27	11	7	568	22	218	20	11	28	3	38
"hsa-miR-3605-3p"	371	427	438	1384	395	524	624	2266	10069	1084	798	1426	425	1242
"hsa-miR-3605-5p"	44	73	85	117	57	64	215	160	904	118	93	104	34	150
"hsa-miR-3607-3p"	711	270	168	402	458	391	437	578	5498	762	331	329	47	563
"hsa-miR-3609"	8	14	14	11	7	11	15	62	134	11	27	31	8	7
"hsa-miR-361-3p"	1913	2037	4291	7152	2577	3366	9945	5805	29387	6593	10267	13160	1665	5848
"hsa-miR-361-5p"	5348	3600	2720	4930	3970	5902	9923	5620	31261	12292	2099	4822	378	2922
"hsa-miR-3613-3p"	40	30	49	76	35	33	225	76	280	76	147	124	19	38
"hsa-miR-3614-5p"	4	8	307	77	0	13	40	18	112	19	132	84	9	43
"hsa-miR-3615"	968	2444	2310	3062	2096	2206	3042	4237	13937	1679	4351	4215	622	3837
"hsa-miR-362-5p"	4025	3015	1206	1504	1674	3705	1590	1687	8476	6984	326	487	33	727
"hsa-miR-3620-3p"	77	61	63	122	100	73	152	248	582	170	131	125	36	86
"hsa-miR-3622a-5p"	31	84	17	84	64	46	72	264	190	41	32	81	11	26
"hsa-miR-363-3p"	1701	1293	1620	3085	2148	4023	4158	3151	24538	7534	1675	2508	109	1165
"hsa-miR-3651"	16	34	17	51	11	16	42	32	98	20	49	60	24	39
"hsa-miR-3653-3p"	150	78	22	60	72	50	76	81	547	114	136	97	20	187
"hsa-miR-3656"	77	747	30	767	763	507	1013	3715	479	338	1390	314	706	314
"hsa-miR-365a-3p"	1268	1261	875	1860	1408	1132	3145	1695	10041	2775	1014	1784	324	851
"hsa-miR-365a-5p"	52	19	24	109	47	48	25	123	179	75	69	127	42	34
"hsa-miR-365b-3p"	1268	1261	875	1860	1408	1132	3145	1695	10041	2775	1014	1784	324	851
"hsa-miR-365b-5p"	24	51	48	118	35	28	77	304	226	64	100	178	32	103
"hsa-miR-3661"	23	5	18	22	7	20	36	15	109	36	7	19	5	13
"hsa-miR-3679-5p"	22	6	9	23	21	7	19	71	185	33	56	45	6	13
"hsa-miR-369-5p"	64	69	74	214	88	94	431	180	2510	242	82	211	23	269
"hsa-miR-3690"	14	2	26	19	5	4	32	20	314	2	306	46	9	30
"hsa-miR-370-3p"	27	38	72	81	37	30	208	81	985	31	67	129	17	99
"hsa-miR-370-5p"	3	6	25	10	2	0	37	12	74	12	4	4	0	17
"hsa-miR-371b-5p"	0	6	9	25	5	8	27	8	119	2	65	24	4	27
"hsa-miR-374a-5p"	23	54	39	131	100	94	541	116	821	199	33	32	0	44
"hsa-miR-374b-5p"	527	394	417	639	846	786	2775	404	3994	1949	188	135	21	279
"hsa-miR-375"	3914	696	3519	3170	1233	840	15640	8086	9869	3022	2911	3495	3274	30598
"hsa-miR-376a-5p"	6	6	8	28	7	7	89	12	290	21	3	14	0	34
"hsa-miR-377-5p"	73	48	58	77	37	59	228	117	996	74	73	246	20	140
"hsa-miR-378a-3p"	71003	79736	74730	59205	56545	113614	55297	27053	294325	210754	35109	34657	7156	36443
"hsa-miR-378a-5p"	605	602	487	859	671	1070	761	479	3537	2247	505	856	63	370
"hsa-miR-378b"	9	0	9	8	8	20	11	5	124	36	3	6	2	6
"hsa-miR-378d"	186	208	201	243	173	399	174	114	1618	864	179	144	30	125
"hsa-miR-378f"	56	89	84	65	46	128	84	23	963	267	34	36	15	30
"hsa-miR-378g"	55	67	68	45	57	103	63	35	264	172	36	43	7	35
"hsa-miR-378i"	915	824	1140	868	695	1366	693	356	5382	2135	514	460	101	482
"hsa-miR-379-3p"	7	2	6	15	0	12	38	12	302	21	7	9	0	23
"hsa-miR-379-5p"	14	11	4	30	21	10	96	5	187	29	6	3	0	4
"hsa-miR-381-3p"	250	208	555	455	191	151	1203	273	5514	319	120	239	35	312
"hsa-miR-382-5p"	120	42	63	182	76	78	417	104	1413	101	7	55	8	156
"hsa-miR-3909"	117	122	127	248	173	209	382	196	2101	354	216	295	16	158
"hsa-miR-3913-5p"	15	4	0	5	6	8	69	15	59	13	0	5	2	14
"hsa-miR-3917"	24	14	17	50	14	6	49	115	72	23	2	31	0	37
"hsa-miR-3928-3p"	18	27	42	81	33	18	72	54	433	61	86	90	11	52
"hsa-miR-3934-5p"	17	10	48	39	8	7	54	37	98	19	57	40	7	26
"hsa-miR-3937"	9	22	2	23	23	22	7	56	76	22	3	10	0	13
"hsa-miR-3940-3p"	6	12	24	36	2	9	38	25	283	23	49	75	6	18
"hsa-miR-3960"	82	0	0	278	266	123	0	1592	326	13	0	0	551	33
"hsa-miR-409-3p"	3694	2078	8236	5162	1429	1273	12236	3157	77333	2549	3057	5171	1204	6810
"hsa-miR-410-3p"	418	340	607	548	156	330	2136	672	10069	542	418	1125	109	1078
"hsa-miR-411-3p"	15	9	17	15	14	7	104	3	371	26	5	10	0	14
"hsa-miR-411-5p"	169	132	447	480	252	183	2646	316	5152	513	98	257	21	467
"hsa-miR-421"	288	167	528	529	349	434	1468	302	2992	797	162	200	48	216
"hsa-miR-423-3p"	24898	33836	27018	87542	44161	60373	57278	110335	341938	55636	44990	70232	8149	53938
"hsa-miR-423-5p"	16542	13534	23059	51573	21947	20169	23527	108199	233026	34801	70110	70296	18528	53744
"hsa-miR-424-3p"	1943	947	1500	2623	1075	2379	1305	2363	13329	3461	1570	1321	218	1038
"hsa-miR-424-5p"	82	71	141	175	226	86	781	114	1628	402	34	62	5	62
"hsa-miR-425-3p"	225	282	333	517	369	516	819	455	3642	949	480	707	99	336
"hsa-miR-425-5p"	1561	2147	2875	4347	1958	2794	7727	2801	29208	6404	7909	5679	725	2880
"hsa-miR-4286"	548	675	486	1267	892	698	1084	1100	5006	2024	4138	2737	487	1225
"hsa-miR-429"	104	93	173	325	351	184	2482	310	2976	613	82	100	11	278
"hsa-miR-431-3p"	21	7	25	22	9	15	62	17	343	9	8	64	0	23
"hsa-miR-431-5p"	7	10	84	38	5	13	87	30	1081	24	93	91	16	48
"hsa-miR-432-5p"	544	222	580	1043	338	207	1451	866	11436	290	219	618	217	1094
"hsa-miR-4326"	40	14	26	57	23	51	88	15	350	45	105	101	13	48
"hsa-miR-433-3p"	186	68	109	311	99	123	322	354	2686	229	129	565	35	258
"hsa-miR-4417"	16	16	51	24	13	7	12	16	16	5	0	6	10	8
"hsa-miR-4423-5p"	22	3	9	80	8	9	101	32	53	32	8	3	0	24
"hsa-miR-4433b-5p"	8	10	2	15	13	15	6	56	36	16	213	3	0	5
"hsa-miR-4443"	34	18	52	113	0	28	83	287	56	23	51	35	10	34
"hsa-miR-4446-3p"	28	13	73	82	21	8	77	90	135	17	81	110	74	90
"hsa-miR-4454"	112	444	52	978	653	433	118	2231	677	574	143	187	68	393
"hsa-miR-4461"	72	7	70	83	295	96	74	440	1044	160	3	10	5	42
"hsa-miR-4478"	40	22	52	75	35	33	68	113	259	56	49	58	2	48
"hsa-miR-4482-3p"	7	16	23	51	0	13	0	51	31	63	0	0	0	0
"hsa-miR-4484"	9	8	4	11	11	13	20	5	118	30	3	4	0	4
"hsa-miR-4485-3p"	31	27	12	33	13	61	51	25	206	24	12	22	10	54
"hsa-miR-4485-5p"	34	15	0	11	27	49	7	140	63	46	11	7	0	30
"hsa-miR-4488"	29	56	12	56	49	38	44	322	140	29	101	56	90	39
"hsa-miR-4492"	24	215	0	172	104	111	1287	1333	133	135	2599	426	559	333
"hsa-miR-4497"	8	0	0	0	6	7	38	28	58	14	31	0	18	0
"hsa-miR-449c-5p"	0	5	29	60	2	18	193	4	33	17	3	0	18	10
"hsa-miR-4508"	17	54	10	87	45	35	443	372	86	56	1268	151	182	132
"hsa-miR-450a-5p"	5	9	8	24	19	30	258	33	175	126	14	7	2	31
"hsa-miR-450b-5p"	3	3	6	7	3	13	96	11	52	37	7	8	0	11
"hsa-miR-4516"	73	84	43	149	68	37	160	189	342	66	498	113	158	176
"hsa-miR-451a"	3888	8505	10417	9781	14310	7400	31319	3689	23154	15163	16269	5085	574	3498
"hsa-miR-452-5p"	79	70	117	208	110	90	1327	207	1446	211	82	98	24	282
"hsa-miR-4524a-3p"	24	13	12	19	24	14	22	11	29	42	11	4	0	8
"hsa-miR-4532"	367	2093	739	5353	2874	1935	21630	7587	12812	1596	13573	4077	1636	2912
"hsa-miR-454-3p"	60	29	54	82	78	53	643	106	572	143	27	46	5	68
"hsa-miR-454-5p"	42	80	106	160	90	74	325	65	1054	108	42	69	19	175
"hsa-miR-455-3p"	8950	3385	2216	10976	2788	4514	6961	28370	29601	6600	3111	6757	1461	8261
"hsa-miR-455-5p"	36	51	32	82	79	86	282	106	713	175	10	49	2	57
"hsa-miR-4632-3p"	3	4	4	7	6	4	11	29	38	10	14	16	0	17
"hsa-miR-4636"	11	17	7	24	12	8	46	7	99	27	9	4	0	9
"hsa-miR-4640-3p"	25	18	26	73	30	11	34	109	306	29	51	65	18	48
"hsa-miR-4646-3p"	18	9	14	39	22	13	11	43	176	49	31	77	4	32
"hsa-miR-4661-5p"	69	41	67	60	51	30	64	87	378	50	23	25	15	124
"hsa-miR-4662a-5p"	31	19	30	23	60	58	86	23	354	217	14	5	8	55
"hsa-miR-4677-3p"	30	35	118	57	33	26	255	42	166	37	24	13	13	58
"hsa-miR-4685-3p"	54	54	58	81	61	38	79	131	471	100	131	119	17	70
"hsa-miR-4687-5p"	8	17	48	47	24	5	29	78	117	24	82	93	12	49
"hsa-miR-4695-3p"	20	17	3	18	25	25	17	24	104	88	0	11	6	9
"hsa-miR-4709-5p"	7	5	15	15	12	16	18	6	36	29	2	9	0	11
"hsa-miR-4728-3p"	240	174	47	270	312	221	153	705	1176	488	75	230	33	198
"hsa-miR-4728-5p"	17	8	0	18	25	12	9	111	82	29	6	15	3	7
"hsa-miR-4732-3p"	126	103	132	170	168	66	68	171	750	84	485	121	35	82
"hsa-miR-4732-5p"	14	5	16	12	16	3	3	9	48	4	23	3	5	2
"hsa-miR-4738-3p"	0	3	2	6	2	12	10	30	45	11	8	10	0	6
"hsa-miR-4742-3p"	13	25	17	32	21	40	54	43	257	63	43	63	18	45
"hsa-miR-4749-3p"	29	19	9	48	25	21	14	113	74	33	16	39	0	17
"hsa-miR-4750-5p"	21	9	4	23	16	29	12	58	115	45	9	22	0	18
"hsa-miR-4758-3p"	6	5	20	31	13	12	4	43	118	35	54	47	20	21
"hsa-miR-4767"	9	7	21	35	7	14	23	42	140	34	106	39	13	36
"hsa-miR-4768-5p"	35	22	40	71	21	51	87	62	295	83	16	27	4	54
"hsa-miR-4781-3p"	37	50	73	90	29	41	167	65	692	86	93	112	22	122
"hsa-miR-4785"	0	0	5	12	0	0	12	2	28	0	11	11	0	11
"hsa-miR-4787-3p"	17	26	20	93	28	25	34	145	212	44	59	63	7	45
"hsa-miR-4800-3p"	87	69	72	166	70	92	89	389	422	180	109	111	38	104
"hsa-miR-483-3p"	229	251	28	1070	393	151	110	2345	1514	498	124	4206	722	179
"hsa-miR-483-5p"	356	253	36	1571	549	185	54	4032	2545	422	105	3278	287	137
"hsa-miR-484"	3668	3305	3868	9836	6556	6845	7654	9233	31231	9615	8341	6187	1171	6461
"hsa-miR-485-3p"	445	224	285	569	204	208	972	545	10791	466	550	1502	144	854
"hsa-miR-485-5p"	134	54	100	374	77	85	217	305	2295	130	133	415	56	431
"hsa-miR-486-3p"	162	231	338	483	343	148	386	468	535	258	1797	483	127	240
"hsa-miR-486-5p"	608267	633882	1392053	677896	537333	251214	455778	1073510	746346	364658	2630385	572401	319248	292782
"hsa-miR-487a-5p"	6	6	7	7	7	11	39	18	134	35	12	40	0	28
"hsa-miR-487b-3p"	126	55	49	196	69	74	587	171	3153	217	67	152	17	279
"hsa-miR-489-3p"	469	129	103	737	592	667	1016	672	4767	2342	287	111	48	629
"hsa-miR-491-5p"	15	28	5	25	8	13	21	30	163	30	31	33	6	18
"hsa-miR-493-3p"	5	0	25	39	8	6	65	19	502	13	4	44	0	23
"hsa-miR-493-5p"	345	131	152	278	145	194	1040	341	2421	308	49	203	35	479
"hsa-miR-495-3p"	21	8	19	26	17	16	325	33	452	37	10	14	0	82
"hsa-miR-497-5p"	1595	2389	864	2816	1873	3541	13264	4780	24279	6069	758	1947	225	4567
"hsa-miR-5001-3p"	4	4	17	20	8	2	36	8	85	17	41	11	5	16
"hsa-miR-5006-3p"	9	16	6	18	16	16	17	14	143	41	17	11	4	3
"hsa-miR-500a-3p"	17499	15043	16313	35205	29671	22144	22028	51487	127449	22944	8163	13651	1376	13127
"hsa-miR-500a-5p"	201	144	125	202	227	253	299	337	1591	513	145	128	3	53
"hsa-miR-500b-5p"	43	29	37	52	53	58	84	74	440	120	17	26	0	11
"hsa-miR-501-3p"	1099	869	1369	3116	1620	1985	1539	6151	15178	537	1151	1602	198	1186
"hsa-miR-501-5p"	441	412	359	413	365	449	787	406	2666	608	126	263	21	210
"hsa-miR-5010-3p"	128	110	79	174	121	152	182	224	1327	480	204	208	25	93
"hsa-miR-5010-5p"	2	4	11	26	14	9	8	41	89	12	43	45	15	29
"hsa-miR-502-3p"	1530	1040	973	3838	3313	2445	1857	3735	21231	4168	1479	2395	181	1777
"hsa-miR-502-5p"	75	46	24	57	74	103	69	66	282	189	14	17	0	24
"hsa-miR-503-3p"	14	8	17	16	5	19	8	27	76	26	38	18	5	17
"hsa-miR-503-5p"	65	36	86	165	84	128	137	134	962	137	70	54	12	54
"hsa-miR-504-5p"	417	727	273	1577	818	830	1121	3458	9850	1768	419	4537	186	2237
"hsa-miR-505-3p"	553	812	508	981	593	1117	2442	1048	6923	1631	795	1421	219	1528
"hsa-miR-505-5p"	199	91	85	250	163	176	197	333	816	274	142	193	58	282
"hsa-miR-506-3p"	14	16	75	176	2	66	109	26	1568	35	11	0	0	70
"hsa-miR-508-3p"	209	126	1155	827	129	794	1352	152	15853	900	37	9	14	580
"hsa-miR-508-5p"	24	25	165	355	31	153	87	61	6842	149	55	8	2	110
"hsa-miR-509-3-5p"	4	12	30	105	16	45	50	27	2971	135	15	6	0	34
"hsa-miR-509-3p"	391	448	3976	5156	464	1673	3880	532	70563	1770	603	95	170	2697
"hsa-miR-509-5p"	4	3	17	81	4	24	72	9	576	34	5	0	0	22
"hsa-miR-510-5p"	7	0	11	45	3	24	24	4	474	30	4	0	0	8
"hsa-miR-511-5p"	38	52	386	277	74	71	712	158	963	109	327	437	67	589
"hsa-miR-513a-5p"	24	3	64	167	19	54	65	13	1939	69	16	2	0	19
"hsa-miR-513b-5p"	10	0	15	39	0	13	21	5	566	34	9	0	0	4
"hsa-miR-513c-5p"	61	17	118	315	23	143	199	32	3433	135	36	17	7	107
"hsa-miR-514a-3p"	5	9	64	94	11	56	181	7	2038	115	8	0	0	37
"hsa-miR-514b-5p"	11	3	28	42	3	41	16	0	522	37	4	0	0	9
"hsa-miR-5187-5p"	3	6	3	15	8	15	3	27	52	20	14	5	0	11
"hsa-miR-5193"	20	22	27	59	17	17	38	134	227	53	71	83	10	26
"hsa-miR-532-3p"	4846	5081	2043	5705	4442	4694	5435	10158	37001	8633	3283	6232	384	4824
"hsa-miR-532-5p"	11011	6333	6943	9518	9869	8930	15855	10302	53649	10875	1917	2936	340	4995
"hsa-miR-542-3p"	11	5	7	7	17	5	89	42	83	23	4	4	0	12
"hsa-miR-542-5p"	35	22	16	33	29	42	49	62	253	69	41	55	3	30
"hsa-miR-543"	20	18	37	92	19	23	140	38	1074	75	107	111	10	134
"hsa-miR-548ah-3p"	6	4	7	10	7	40	16	4	116	74	0	0	0	4
"hsa-miR-548k"	6	19	23	73	40	29	206	22	166	51	5	20	4	47
"hsa-miR-548o-3p"	31	27	37	50	50	50	123	87	487	106	22	21	5	81
"hsa-miR-548p"	5	3	7	9	4	33	12	4	90	65	0	0	0	2
"hsa-miR-548q"	16	10	5	16	18	8	28	15	86	20	3	9	0	4
"hsa-miR-550a-3-5p"	19	14	10	23	16	9	15	25	85	24	20	19	6	7
"hsa-miR-550a-3p"	139	176	188	499	164	157	229	614	1151	213	540	304	59	336
"hsa-miR-550a-5p"	32	26	33	72	25	33	49	48	290	46	125	53	10	45
"hsa-miR-5581-3p"	0	5	8	8	7	7	16	18	83	17	13	18	0	8
"hsa-miR-5588-3p"	28	20	2	28	16	41	21	11	369	73	3	11	4	8
"hsa-miR-5588-5p"	108	66	38	88	104	132	33	52	1131	148	7	2	0	55
"hsa-miR-5690"	15	22	243	93	27	17	86	12	211	26	104	118	21	61
"hsa-miR-5701"	0	539	142	0	687	0	0	1316	9107	145	2747	2041	0	2091
"hsa-miR-574-3p"	8595	9767	6681	20498	11577	10417	33061	44224	164260	28910	37111	47425	3449	17017
"hsa-miR-574-5p"	3194	2963	1600	4274	2841	1858	5995	10005	11565	3147	1927	2211	591	4514
"hsa-miR-576-5p"	92	125	282	206	162	136	784	154	2141	458	209	366	35	388
"hsa-miR-577"	115	43	49	182	217	56	472	272	606	156	3	6	2	71
"hsa-miR-582-3p"	103	89	50	61	88	124	135	79	287	114	0	0	2	11
"hsa-miR-582-5p"	57	53	38	87	116	106	381	91	621	374	32	83	2	84
"hsa-miR-584-5p"	30	75	83	94	69	89	143	57	473	95	127	110	27	83
"hsa-miR-585-3p"	25	18	37	64	98	21	129	47	457	55	20	56	4	20
"hsa-miR-589-3p"	97	165	106	315	121	126	297	343	588	123	85	136	43	205
"hsa-miR-589-5p"	397	528	864	946	576	646	1407	1019	3754	845	957	1048	156	637
"hsa-miR-598-3p"	49	73	139	71	83	75	824	77	306	227	30	66	15	156
"hsa-miR-605-5p"	13	36	4	19	4	21	43	84	143	31	8	27	2	44
"hsa-miR-6087"	13	39	4	30	15	21	60	123	27	31	148	24	63	12
"hsa-miR-615-3p"	2312	1154	1003	3445	2154	3582	4649	4536	20635	3818	1751	5799	423	3233
"hsa-miR-616-5p"	37	38	42	113	62	60	137	57	702	109	115	125	3	93
"hsa-miR-618"	62	34	43	96	70	64	167	53	294	32	181	144	28	105
"hsa-miR-619-5p"	0	13	5	43	0	32	39	57	129	36	0	35	12	14
"hsa-miR-625-3p"	184	141	966	603	208	157	576	789	2857	451	2328	1307	316	481
"hsa-miR-625-5p"	22	18	87	99	45	38	116	91	231	56	169	88	31	72
"hsa-miR-628-3p"	72	59	37	119	80	110	222	108	389	204	38	44	10	89
"hsa-miR-628-5p"	23	40	14	83	88	80	324	84	384	155	13	8	4	54
"hsa-miR-629-3p"	37	49	53	74	35	26	173	169	379	50	268	198	56	106
"hsa-miR-629-5p"	104	40	126	160	134	58	272	164	382	45	52	19	14	65
"hsa-miR-636"	5	7	5	24	24	17	13	25	104	40	36	25	9	4
"hsa-miR-641"	17	37	39	86	39	76	101	103	546	123	27	47	9	31
"hsa-miR-642a-3p"	8	0	15	27	8	8	29	41	58	10	59	23	15	37
"hsa-miR-642a-5p"	18	73	23	117	25	41	199	143	97	65	411	259	143	215
"hsa-miR-6500-3p"	12	8	5	5	22	35	21	2	125	106	0	3	0	0
"hsa-miR-6501-3p"	0	8	2	27	2	8	8	28	45	15	28	40	0	13
"hsa-miR-6502-5p"	5	14	43	53	8	18	92	32	120	30	8	4	0	74
"hsa-miR-6503-3p"	2	2	94	43	0	8	73	14	122	11	48	69	8	39
"hsa-miR-6503-5p"	2	5	141	146	17	28	96	32	359	30	239	316	48	191
"hsa-miR-6511a-3p"	555	527	231	952	498	520	801	1771	2918	767	592	1478	385	963
"hsa-miR-6511a-5p"	27	22	6	36	21	35	36	72	121	17	12	14	0	18
"hsa-miR-6511b-3p"	419	436	142	807	383	445	543	2689	2425	772	394	798	199	752
"hsa-miR-6511b-5p"	70	53	31	73	39	70	58	162	236	56	25	27	2	37
"hsa-miR-6513-3p"	12	8	10	10	12	15	80	20	149	29	13	10	0	15
"hsa-miR-6514-5p"	9	11	29	21	15	16	27	15	118	30	20	14	3	24
"hsa-miR-6516-5p"	11	3	0	7	6	16	36	13	81	27	3	2	0	15
"hsa-miR-652-3p"	1377	1193	2130	2780	1393	2229	2534	2296	11775	3585	4096	3668	319	1713
"hsa-miR-653-3p"	3	0	0	6	6	11	16	3	28	37	0	0	0	0
"hsa-miR-654-3p"	1583	1299	2292	4324	2065	1768	7980	2922	58112	4122	1303	3325	382	6258
"hsa-miR-654-5p"	41	33	52	61	23	18	91	80	501	24	43	66	13	46
"hsa-miR-659-5p"	40	58	94	63	27	34	138	27	594	59	54	67	13	73
"hsa-miR-660-3p"	38	22	14	41	29	60	34	53	320	120	18	26	0	28
"hsa-miR-660-5p"	787	308	408	660	970	520	3504	791	3468	1004	95	174	11	357
"hsa-miR-663b"	22	7	33	33	29	75	71	135	88	74	99	144	3	117
"hsa-miR-664a-3p"	2897	2419	1575	4091	2398	2208	5461	16571	21991	5562	4246	5480	1058	3391
"hsa-miR-664a-5p"	1247	670	353	1132	475	703	1220	1793	4838	1245	157	291	95	530
"hsa-miR-664b-3p"	216	149	128	359	176	193	435	939	1230	296	363	364	70	207
"hsa-miR-664b-5p"	60	27	56	118	59	69	61	342	377	125	63	99	28	117
"hsa-miR-665"	3	4	32	37	4	0	40	2	174	26	53	50	4	14
"hsa-miR-668-3p"	7	2	9	11	0	5	23	12	259	7	19	35	4	19
"hsa-miR-671-3p"	690	1109	1140	1527	807	1131	1875	2946	9398	1757	2535	3011	395	2529
"hsa-miR-671-5p"	43	24	29	68	86	44	64	97	326	58	37	103	8	52
"hsa-miR-6716-3p"	166	150	127	382	153	183	331	562	2499	254	121	285	46	331
"hsa-miR-6723-5p"	249	288	141	296	676	452	329	475	1545	279	0	86	23	107
"hsa-miR-6724-5p"	122	97	34	168	72	99	109	441	314	90	55	74	7	61
"hsa-miR-6726-3p"	19	15	6	18	19	6	19	75	102	34	16	38	8	32
"hsa-miR-6729-3p"	7	14	2	6	11	4	16	26	43	31	12	12	4	7
"hsa-miR-6730-5p"	13	7	0	36	8	17	10	35	68	19	9	34	5	7
"hsa-miR-6731-3p"	2	5	0	22	4	4	11	57	89	11	58	28	21	42
"hsa-miR-6732-3p"	14	7	2	39	19	22	11	68	3055	48	32	27	4	35
"hsa-miR-6734-5p"	23	10	12	34	17	17	21	127	580	29	45	21	13	32
"hsa-miR-6735-3p"	11	4	12	29	16	20	12	28	120	41	32	21	2	15
"hsa-miR-6735-5p"	3	2	12	20	12	17	4	35	142	28	9	35	0	11
"hsa-miR-6737-3p"	71	84	49	181	75	131	130	232	939	210	131	191	24	157
"hsa-miR-6741-3p"	23	32	29	54	64	64	51	93	337	107	65	73	4	66
"hsa-miR-6747-3p"	14	24	17	45	20	31	33	40	366	65	61	83	19	52
"hsa-miR-6749-3p"	80	53	48	98	68	58	69	336	388	111	67	94	26	66
"hsa-miR-675-3p"	51	74	31	382	90	84	75	334	824	169	37	592	43	32
"hsa-miR-675-5p"	16	22	3	87	16	14	4	97	53	30	0	32	4	2
"hsa-miR-6750-3p"	63	47	0	76	56	50	37	147	153	90	22	54	21	81
"hsa-miR-6756-3p"	174	342	60	360	154	90	107	1378	785	223	165	114	27	163
"hsa-miR-6757-5p"	21	12	3	13	11	13	6	63	95	17	11	15	0	12
"hsa-miR-6761-3p"	2	11	11	3	17	14	0	20	397	25	5	10	0	7
"hsa-miR-6761-5p"	25	28	31	24	36	29	25	20	240	44	19	13	0	29
"hsa-miR-6762-3p"	23	21	19	22	16	37	16	6	244	72	18	31	0	8
"hsa-miR-6769b-3p"	17	25	135	165	27	37	94	243	792	74	380	349	88	198
"hsa-miR-6772-3p"	26	45	26	40	35	28	26	74	8994	39	17	25	0	43
"hsa-miR-6774-3p"	0	5	44	34	4	8	64	34	1043	21	38	84	15	78
"hsa-miR-6776-3p"	5	5	2	8	8	14	0	21	153	39	3	0	0	5
"hsa-miR-6777-3p"	9	5	4	12	19	16	10	29	82	35	9	9	6	15
"hsa-miR-6780b-3p"	6	2	12	13	8	9	13	17	63	18	17	23	3	9
"hsa-miR-6784-3p"	9	13	5	38	8	14	15	121	175	34	9	7	6	30
"hsa-miR-6786-3p"	28	12	24	30	27	39	42	110	302	71	36	45	8	53
"hsa-miR-6788-3p"	3	9	0	6	10	11	13	53	43	3	17	32	4	4
